 to your browser, в ваш браузер,
"""Company History""",Добавьте заголовок раздела об истории компании,
"""Parent"" signifies the parent table in which this row must be added","«Родитель» означает родительскую таблицу, в которую должна быть добавлена эта строка",
"""Team Members"" or ""Management""",«Члены команды» или «Руководство»,
"""amended_from"" field must be present to do an amendment.",Для внесения поправок необходимо наличие поля «amended_from».,
"""{0}"" is not a valid Google Sheets URL",«{0}» не является допустимым URL-адресом Google Таблиц,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} добавлен в очередь на оптимизацию,
&copy; Frappe Technologies Pvt. Ltd. and contributors,© Frappe Technologies Pvt. Ltd. и соавторы,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},«В глобальном поиске» не допускается для поля {0} типа {1},
'In Global Search' not allowed for type {0} in row {1},«В глобальном поиске» не допускается для типа {0} в строке {1},
'In List View' is not allowed for field {0} of type {1},«В представлении списка» не допускается для поля {0} типа {1},
'In List View' not allowed for type {0} in row {1},«В представлении списка» не допускается для типа {0} в строке {1},
'Recipients' not specified,«Получатели» не указаны,
'{0}' is not a valid URL,'{0}' не является допустимым URL-адресом,
'{0}' not allowed for type {1} in row {2},'{0}' не допускается для типа {1} в строке {2},
(Mandatory),(Обязательный),
** Failed: {0} to {1}: {2},** Не удалось переименовать {0} в {1}: {2},
+ Add / Remove Fields,+ Добавление / удаление полей,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Черновик; 1 - Проведено; 2 - Отменено,
0 is highest,0 — самый высокий,
1 = True & 0 = False,1 = Истина и 0 = Ложь,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Валюта = [?] монет
Например, 1 USD = 100 Cent",
1 Day,1 день,
1 Google Calendar Event synced.,Синхронизировано 1 событие Google Календаря.,
1 Report,1 отчет,
1 comment,1 комментарий,
1 day ago,1 день назад,
1 hour,1 час,
1 hour ago,1 час назад,
1 minute ago,1 минуту назад,
1 month ago,1 месяц назад,
1 of 2,1 из 2,
1 record will be exported,1 запись будет экспортирована,
1 second ago,1 секунду назад,
1 week ago,1 неделю назад,
1 year ago,1 год назад,
2 hours ago,2 часа назад,
2 months ago,2 месяца назад,
2 weeks ago,2 недели назад,
2 years ago,2 года назад,
3 minutes ago,3 минуты назад,
30 minutes,30 минут,
4 hours,4 часа,
5 Records,5 записей,
5 days ago,5 дней назад,
; not allowed in condition,; не допускается в условии,
<b>{0}</b> is not a valid URL,<b>{0}</b> не является допустимым URL-адресом,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Пожалуйста, не обновляйте документ, так как это может испортить вашу форму. Используйте настройку формы под себя и пользовательские поля для установки свойств!</div>",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li><code>.FY.</code> - Fiscal Year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">Редактировать список серий в поле. Правила:<ul><li> Каждый префикс серии на новой строке.</li><li> Разрешенные специальные символы: «/» и «-».</li><li> При желании задайте количество цифр в серии, используя точку (.) с последующими решетками (#). Например, "".####"" означает, что серия будет иметь четыре цифры. По умолчанию — пять цифр.</li><li> Вы также можете использовать переменные в названии серии, поместив их между точками (.)<br> Поддерживаемые переменные:<ul><li> <code>.YYYY.</code> - Год из 4 цифр</li><li> <code>.YY.</code> - Год из 2 цифр</li><li> <code>.MM.</code> - Месяц</li><li> <code>.DD.</code> - День месяца</li><li> <code>.WW.</code> - Неделя года</li><li> <code>.FY.</code> - Финансовый год</li><li> <code>.{fieldname}.</code> - имя поля в документе, например, <code>branch</code></li></ul></li></ul> Примеры:<ul><li> ИНВ-</li><li> ИНВ-10-</li><li> ИНВК-</li><li> ИНВ-.ГГГГ.-.{branch}.-.ММ.-.####</li></ul></div><br>
",
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>Помощь с пользовательским CSS</h3><p> Примечания:</p><ol><li> Все группы полей (метка + значение) имеют заданные атрибуты <code>data-fieldtype</code> и <code>data-fieldname</code></li><li> Всем значениям присвоено <code>value</code> класса</li><li> Все разделы прерываются классом <code>section-break</code></li><li> Всем разрывам столбцов присваивается класс <code>column-break</code></li></ol><h4> Примеры</h4><p> 1. Выравнивание целых чисел по левому краю</p><pre> <code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre><p> 1. Добавить границу к разделам, кроме последнего раздела.</p><pre> <code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; } .section-break:last-child { padding-bottom: 0px; border-bottom: 0px; }</code></pre>
",
